OBJECTID,POP1990,POP2000,ALLCRASH,FCRASH,MACRASH,MICRASH,POCRASH,PDOCRASH,TPROPDMG,ALLINJS,TFATALITY,TMAJINJ,TMININJ,TPOSSINJ,TUNKINJ,ALCDRUGCR,ALCDRUGFCR,ALCDRUGMCR,ALCDRUGFAT,ALCDRUGMAJ,ALCDRUGINJ,ALCDRUGFI,ALCOCR,ALCOFCR,ALCOMCR,ALCOFAT,ALCOMAJ,ALCOINJ,ALCOFI,MOTOCR,MOTOFCR,MOTOMCR,MOTOFAT,MOTOMAJ,MOTOINJ,MOTOFI,PEDCR,PEDFCR,PEDMCR,PEDFAT,PEDMAJ,PEDINJ,PEDFI,BIKECR,BIKEFCR,BIKEMCR,BIKEFAT,BIKEMAJ,BIKEINJ,BIKEFI,SBUSCR,SBUSFCR,SBUSMCR,SBUSFAT,SBUSMAJ,SBUSINJ,SBUSFI,NBUSCR,NBUSFCR,NBUSMCR,NBUSFAT,NBUSMAJ,NBUSINJ,NBUSFI,TRKCR,TRKFCR,TRKMCR,TRKFAT,TRKMAJ,TRKINJ,TRKFI,HTRKCR,HTRKFCR,HTRKMCR,HTRKFAT,HTRKMAJ,HTRKINJ,HTRKFI,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,YEAR,COUNTY,COUNTYNAME,POP2010
7,19612,20670,352,4,18,42,45,243,1656912,157,8,24,55,69,9,7,0,0,0,0,9,9,2,0,0,0,0,3,3,8,0,1,0,1,7,7,1,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,1,0,1,2,2,21,2,1,6,1,27,33,16,2,1,6,1,21,27,26,15,14,27,28,31,30,31,23,39,50,38,9,5,16,30,30,22,39,33,67,46,33,17,2001,92,Washington,0
8,13202,14547,315,3,8,32,39,233,1476960,125,3,11,42,56,16,14,3,0,3,2,15,18,8,2,0,2,2,9,11,4,1,0,1,0,4,5,1,0,0,0,0,2,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,24,24,17,0,1,0,1,19,19,26,16,24,13,29,24,28,25,29,22,52,27,17,10,14,28,18,16,16,25,39,45,42,35,2001,65,Mills,0
9,8226,8010,194,2,10,26,22,134,948349,88,2,14,37,33,4,6,0,1,0,1,5,5,3,0,0,0,0,3,3,2,0,0,0,0,2,2,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,2,1,5,17,18,13,0,2,0,3,12,12,16,35,16,6,13,10,14,12,9,22,25,16,10,7,9,15,14,20,16,13,36,22,18,13,2001,36,Fremont,0
10,82628,87704,2104,15,72,273,409,1335,9791441,1257,17,88,417,706,46,73,8,6,10,9,93,103,40,6,1,8,2,54,62,34,0,9,0,10,27,27,17,3,3,3,5,18,21,13,0,3,0,3,12,12,7,0,0,0,0,67,67,7,0,0,0,0,7,7,207,3,3,3,3,234,237,154,2,3,2,3,175,177,178,173,160,138,192,194,172,180,163,189,186,179,85,51,53,156,202,176,224,314,283,238,187,110,2001,78,Pottawattamie,0
11,14730,15666,323,3,10,37,47,226,1582569,152,5,11,60,75,6,10,1,2,3,2,14,17,3,1,0,3,0,8,11,11,0,2,0,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,33,2,1,4,2,45,49,26,2,1,4,2,38,42,33,35,6,19,23,28,18,27,26,26,33,49,17,8,17,23,33,16,32,29,44,35,44,21,2001,43,Harrison,0
12,29903,31589,380,1,19,68,60,232,2047540,197,1,23,83,83,8,11,1,1,1,1,11,12,3,1,1,1,1,3,4,6,1,2,1,2,4,5,4,0,0,0,0,8,8,2,0,1,0,1,1,1,3,0,1,0,1,2,2,2,0,0,0,0,2,2,40,0,3,0,3,39,39,34,0,2,0,2,34,34,43,41,24,21,30,30,16,32,27,44,42,30,4,6,11,32,37,42,31,44,64,41,40,22,2001,84,Sioux,0
13,11952,11763,194,1,1,30,24,138,827322,82,1,1,43,36,2,5,0,0,0,0,5,5,1,0,0,0,0,1,1,2,0,0,0,0,3,3,1,0,0,0,0,1,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,20,20,11,0,0,0,0,12,12,13,24,9,9,10,16,17,16,14,17,31,18,7,5,0,16,30,10,9,21,25,31,26,12,2001,60,Lyon,0
14,23388,24849,400,3,16,62,74,245,1839637,222,4,25,83,99,15,21,1,2,1,4,27,28,8,1,0,1,1,10,11,7,1,3,1,5,7,8,2,0,0,0,0,2,2,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,29,1,0,1,1,34,35,20,1,0,1,1,25,26,12,21,22,28,42,41,34,38,30,43,45,44,10,12,16,26,36,29,32,50,54,47,39,47,2001,75,Plymouth,0
15,36033,40671,733,5,28,92,112,496,3089326,387,8,36,151,171,29,37,3,3,4,7,48,52,20,1,0,1,1,21,22,11,1,0,1,1,12,13,0,0,0,0,0,0,0,3,0,1,0,1,2,2,5,0,0,0,0,10,10,2,0,0,0,0,3,3,47,0,2,0,3,57,57,39,0,2,0,3,45,45,62,63,36,37,58,50,47,53,67,79,110,71,26,16,27,69,63,49,66,98,118,90,66,41,2001,91,Warren,0
16,327140,374601,9570,24,301,1255,1899,6091,41902351,5447,28,374,1837,3054,182,363,4,24,4,34,437,441,169,4,8,4,11,215,219,101,5,19,5,24,106,111,91,0,13,0,13,82,82,51,1,6,1,6,50,51,33,0,1,0,1,40,40,35,0,2,0,2,37,37,527,6,17,9,21,595,604,366,6,12,9,16,412,421,799,807,690,728,888,755,729,895,791,814,870,804,348,233,108,783,793,855,1173,1425,1808,896,588,451,2001,77,Polk,0
17,7334,6830,75,2,3,14,14,42,326857,54,2,5,18,30,1,5,0,0,0,0,6,6,3,0,0,0,0,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,5,0,0,0,0,5,5,3,9,5,6,5,8,3,5,7,6,7,11,5,1,2,3,4,6,7,14,7,7,8,10,2001,5,Audubon,0
24,15128,14684,227,2,4,20,24,177,1311716,71,3,7,25,31,8,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,36,1,2,1,2,35,36,30,1,2,1,2,29,30,11,20,20,18,20,20,15,16,19,10,34,24,8,3,6,11,17,20,26,33,28,33,29,11,2001,15,Cass,0
25,8287,9133,248,2,5,20,24,197,1544199,80,3,8,36,32,4,10,2,1,3,3,14,17,7,2,1,3,3,10,13,5,0,1,0,1,5,5,2,0,0,0,0,2,2,1,0,0,0,0,1,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,24,0,0,0,0,27,27,22,0,0,0,0,25,25,20,18,14,15,18,19,21,21,16,18,40,28,19,10,16,15,12,20,18,26,30,39,19,18,2001,20,Clarke,0
