X,Y,AIRPORT_NAME,FAACODE,ID,ASSOCCITY,DATES,AIR_TEMPERATURE,DEW_POINT,FIRST_CLOUD_LAYER,FIRST_CLOUD_LAYER_FEET,PRECIPITATION,PRESSURE,SECOND_CLOUD_LAYER,SECOND_CLOUD_LAYER_FEET,THIRD_CLOUD_LAYER,THIRD_CLOUD_LAYER_FEET,VISIBILITY,WIND_DIR_DEG,WIND_DIR_LET,WIND_GUST_K,WIND_GUST_MPH,WIND_SPEED_K,WIND_SPEED_MPH,ESRI_OID
-94.271780176439094,43.077952802439853,"Algona Municipal
",AXA,0,Algona,2017-03-17T16:40:00.000Z,42.8,35.6,Broken,2800,NA,30.1,3300,3300,NA,-99,10,300,WNW,29,33,19,22,1
-93.566412141848687,41.691546688276212,"Ankeny Regional
",IKV,1,Ankeny,2017-03-17T16:40:00.000Z,60.8,30.2,Clear,-99,NA,30.08,-99,-99,NA,-99,10,310,NW,27,31,19,22,2
-95.04772025826496,41.407643122935852,"Atlantic Municipal
",AIO,2,Atlantic,2017-03-17T16:40:00.000Z,64.4,28.4,Clear,-99,NA,30.11,-99,-99,NA,-99,10,300,WNW,27,31,18,21,3
-94.920462085713993,41.701504285176604,"Audubon County
",ADU,3,Audubon,2017-03-17T16:40:00.000Z,62.6,24.8,Clear,-99,NA,30.11,-99,-99,NA,-99,10,310,NW,22,25,16,18,4
-93.847941766760286,42.04986033316905,"Boone Municipal
",BNW,4,Boone,2017-03-17T16:40:00.000Z,57.2,32,Clear,-99,NA,30.06,-99,-99,NA,-99,10,300,WNW,30,35,19,22,5
-94.789257283728162,42.046147145772949,"Carroll Municipal - Arthur N. Neu
",CIN,5,Carroll,2017-03-17T16:40:00.000Z,60.8,32,Clear,-99,NA,30.09,-99,-99,NA,-99,10,300,WNW,35,40,27,31,6
-92.901012167495409,40.684444097600334,"Centerville Municipal
",TVK,6,Centerville,2017-03-17T16:35:00.000Z,64.4,32,Clear,-99,NA,30.08,-99,-99,NA,-99,10,310,NW,-99,-99,14,16,7
-93.360419756085179,41.019633154937814,"Chariton Municipal
",CNC,7,Chariton,2017-03-17T16:40:00.000Z,64.4,33.8,Clear,-99,NA,30.06,-99,-99,NA,-99,10,310,NW,21,24,15,17,8
-92.610833307101672,43.07190870156046,"Northeast Iowa Regional
",CCY,8,Charles City,2017-03-17T16:40:00.000Z,42.8,35.6,Overcast,3100,NA,30.04,-99,-99,NA,-99,10,300,WNW,23,26,16,18,9
-95.556199987066563,42.73138729443567,"Cherokee County Regional
",CKP,9,Cherokee,2017-03-17T16:35:00.000Z,50,35.6,Clear,-99,NA,30.14,-99,-99,NA,-99,10,310,NW,26,30,15,17,10
-95.026290771383714,40.722332888820148,"Clarinda Municipal - Schenck Field
",ICL,10,Clarinda,2017-03-17T16:40:00.000Z,66.2,30.2,Clear,-99,NA,30.14,-99,-99,NA,-99,10,330,NNW,-99,-99,13,15,11
-93.758613547367673,42.74249582243143,"Clarion Municipal
",CAV,11,Clarion,2017-03-17T16:40:00.000Z,48.2,39.2,Broken,3200,NA,30.07,4000,4000,NA,-99,10,310,NW,30,35,23,26,12
-95.759619732463207,41.259812106675064,"Council Bluffs Municipal
",CBF,12,Council Bluffs,2017-03-17T16:40:00.000Z,66.2,26.6,Clear,-99,NA,30.12,-99,-99,NA,-99,10,320,NW,24,28,14,16,13
-94.362589552902719,41.02199355003134,"Creston Municipal
",CSQ,13,Creston,2017-03-17T16:40:00.000Z,64.4,30.2,Clear,-99,NA,30.1,-99,-99,NA,-99,10,310,NW,26,30,19,22,14
