State,Poverty Rate
New Hampshire,8%
New Jersey,10%
Vermont,10%
Minnesota,12%
Hawaii,13%
Delaware,12%
Utah,10%
Virginia,11%
Nebraska,10%
Connecticut,9%
Maryland,10%
Idaho,14%
Alaska,12%
Massachusetts,11%
Washington,12%
Wisconsin,11%
Nevada,13%
Wyoming,9%
Florida,15%
North Dakota,11%
Pennsylvania,11%
Iowa,11%
Colorado,12%
Illinois,13%
Missouri,16%
South Dakota,14%
Michigan,28%
Oregon,14%
Rhode Island,13%
Ohio,14%
Kansas,14%
Indiana,16%
Maine,12%
North Carolina,17%
California,16%
Montana,14%
Georgia,19%
New York,16%
Kentucky,17%
Tennessee,17%
South Carolina,14%
Arizona,21%
West Virginia,16%
Oklahoma,13%
Arkansas,19%
Texas,17%
Alabama,17%
New Mexico,20%
Louisiana,14%
Mississippi,23%
District of Columbia,18%
