State,Rate,Rank
New Hampshire,2.7,1
Hawaii,2.8,2
South Dakota,2.8,2
Colorado,2.9,4
North Dakota,2.9,4
Vermont,3,6
Utah,3.1,7
Iowa,3.2,8
Maine,3.2,8
Nebraska,3.2,8
Massachusetts,3.4,11
Idaho,3.6,12
Arkansas,3.7,13
Wisconsin,3.7,13
Montana,3.8,15
Virginia,3.9,16
Kansas,4,17
Minnesota,4,17
Oregon,4,17
Indiana,4.1,20
Missouri,4.1,20
Maryland,4.2,22
New Jersey,4.4,23
New York,4.4,23
South Carolina,4.4,23
Delaware,4.5,26
Rhode Island,4.5,26
Oklahoma,4.6,28
Connecticut,4.7,29
Wyoming,4.7,29
Kentucky,4.9,31
Nevada,4.9,31
Texas,4.9,31
Washington,4.9,31
California,5,35
Florida,5,35
Pennsylvania,5,35
Arizona,5.1,38
North Carolina,5.1,38
Ohio,5.1,38
Mississippi,5.2,41
West Virginia,5.2,41
Georgia,5.3,43
Michigan,5.3,43
Tennessee,5.3,43
Illinois,5.4,46
District of Columbia,5.7,47
Louisiana,5.8,48
Alabama,6.2,49
Alaska,6.4,50
New Mexico,6.8,51
Footnotes,,
